Date Time, Monitor ID, Location ID, CO2(ppm), NO2(ppm), PM10(ppm), PM2.5(ppm)
17/05/2022 13:34,1,1,406, , , 
17/05/2022 13:34,1,2, , ,0.004,0.001
17/05/2022 13:35,1,1,406, , , 
17/05/2022 13:35,1,2, , ,0.001,0
17/05/2022 13:36,1,1,406, , , 
17/05/2022 13:36,1,2, , ,0.002,0.001
17/05/2022 13:37,1,1,406, , , 
17/05/2022 13:37,1,2, , ,0.001,0
17/05/2022 13:38,1,1,406, , , 
17/05/2022 13:38,1,2, , ,0,0
17/05/2022 13:39,1,1,406, , , 
17/05/2022 13:39,1,2, , ,0.001,0.001
17/05/2022 13:40,1,1,409, , , 
17/05/2022 13:40,1,2, , ,0,0
17/05/2022 13:41,1,1,409, , , 
17/05/2022 13:41,1,2, , ,0.001,0.001
17/05/2022 13:46,1,1,472, , , 
17/05/2022 13:47,1,1,441, , , 
17/05/2022 13:47,1,2, , ,0,0
17/05/2022 13:48,1,1,421, , , 
17/05/2022 13:48,1,2, , ,0.007,0.002
17/05/2022 13:49,1,1,411, , , 
17/05/2022 13:49,1,2, , ,0.001,0
17/05/2022 13:50,1,1,406, , , 
17/05/2022 13:50,1,2, , ,0,0
17/05/2022 13:51,1,1,404, , , 
17/05/2022 13:51,1,2, , ,0,0
17/05/2022 13:52,1,1,401, , , 
17/05/2022 13:52,1,2, , ,0.001,0.001
17/05/2022 13:53,1,1,404, , , 
17/05/2022 13:53,1,2, , ,0.002,0.001
17/05/2022 13:54,1,1,404, , , 
17/05/2022 13:54,1,2, , ,0.001,0.001
17/05/2022 13:55,1,1,404, , , 
17/05/2022 13:55,1,2, , ,0,0
17/05/2022 13:56,1,1,404, , , 
17/05/2022 13:56,1,2, , ,0.001,0
17/05/2022 13:57,1,1,404, , , 
17/05/2022 13:57,1,2, , ,0.002,0.001
17/05/2022 13:58,1,1,404, , , 
17/05/2022 13:58,1,2, , ,0,0
17/05/2022 13:59,1,1,399, , , 
17/05/2022 13:59,1,2, , ,0.053,0.003
17/05/2022 14:00,1,1,399, , , 
17/05/2022 14:00,1,2, , ,0.002,0.001
17/05/2022 14:01,1,1,401, , , 
17/05/2022 14:01,1,2, , ,0.001,0.001
17/05/2022 14:02,1,1,404, , , 
17/05/2022 14:02,1,2, , ,0.002,0.001
17/05/2022 14:03,1,1,404, , , 
17/05/2022 14:03,1,2, , ,0,0
17/05/2022 14:04,1,1,401, , , 
17/05/2022 14:04,1,2, , ,0.001,0.001
17/05/2022 14:05,1,1,399, , , 
17/05/2022 14:05,1,2, , ,0,0
17/05/2022 14:06,1,1,396, , , 
17/05/2022 14:06,1,2, , ,0.004,0.002
17/05/2022 14:07,1,1,396, , , 
17/05/2022 14:07,1,2, , ,0.004,0.001
17/05/2022 14:08,1,1,401, , , 
17/05/2022 14:08,1,2, , ,0.002,0.001
17/05/2022 14:09,1,1,401, , , 
17/05/2022 14:09,1,2, , ,0,0
17/05/2022 14:10,1,1,404, , , 
17/05/2022 14:10,1,2, , ,0.004,0.001
17/05/2022 14:11,1,1,406, , , 
17/05/2022 14:11,1,2, , ,0.005,0.001
17/05/2022 14:12,1,1,406, , , 
17/05/2022 14:12,1,2, , ,0.005,0.001
17/05/2022 14:13,1,1,404, , , 
17/05/2022 14:13,1,2, , ,0.002,0.001
